Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
4720	2	11	0.000515	0.000270	-10846.585
4730	2	11	0.000499	0.000257	-10846.822
4740	2	11	0.000574	0.000242	-10843.353
4750	2	11	0.000427	0.000283	-10840.573
4760	2	11	0.000507	0.000336	-10844.961
4770	2	11	0.000618	0.000270	-10846.549
4780	2	11	0.000559	0.000290	-10848.453
4790	2	11	0.000690	0.000401	-10848.735
4800	2	11	0.000485	0.000353	-10845.078
4810	2	11	0.000681	0.000535	-10852.828
4820	2	11	0.000424	0.000351	-10845.193
4830	2	11	0.000502	0.000165	-10845.302
4840	2	11	0.000592	0.000217	-10847.413
4850	2	11	0.000529	0.000316	-10841.673
4860	2	11	0.000709	0.000446	-10850.557
4870	2	11	0.000649	0.000376	-10845.691
4880	2	11	0.000616	0.000215	-10841.463
4890	2	11	0.000729	0.000468	-10845.156
4900	2	11	0.000813	0.000232	-10842.098
4910	2	11	0.000660	0.000362	-10847.466
4920	2	11	0.000745	0.000265	-10839.928
4930	2	11	0.000835	0.000423	-10842.577
4940	2	11	0.000663	0.000358	-10843.358
4950	2	11	0.000696	0.000178	-10843.523
4960	2	11	0.000690	0.000184	-10840.653
4970	2	11	0.001001	0.000283	-10846.077
4980	2	11	0.000877	0.000339	-10840.978
4990	2	11	0.000806	0.000262	-10846.985
5000	2	11	0.000926	0.000369	-10853.179
5010	2	11	0.000500	0.000256	-10851.479
5020	2	11	0.000631	0.000179	-10838.475
5030	2	11	0.000803	0.000333	-10845.521
5040	2	11	0.000679	0.000276	-10841.618
5050	2	11	0.000479	0.000140	-10844.753
5060	2	11	0.000475	0.000261	-10841.090
5070	2	11	0.000317	0.000174	-10841.104
5080	2	11	0.000482	0.000298	-10842.461
5090	2	11	0.000379	0.000235	-10848.663
5100	2	11	0.000320	0.000140	-10849.292
5110	2	11	0.000314	0.000147	-10841.119
5120	2	11	0.000573	0.000232	-10839.670
5130	2	11	0.000396	0.000141	-10841.108
5140	2	11	0.000550	0.000259	-10847.884
5150	2	11	0.000612	0.000350	-10840.514
5160	2	11	0.000423	0.000159	-10847.484
5170	2	11	0.000604	0.000217	-10853.541
5180	2	11	0.000713	0.000454	-10849.640
5190	2	11	0.000500	0.000189	-10843.114
5200	2	11	0.000691	0.000526	-10845.623
5210	2	11	0.000650	0.000438	-10843.591
5220	2	11	0.000814	0.000281	-10841.220
5230	2	11	0.000658	0.000351	-10843.284
5240	2	11	0.000752	0.000308	-10841.292
5250	2	11	0.000676	0.000187	-10841.032
5260	2	11	0.000759	0.000186	-10839.400
5270	2	11	0.000653	0.000187	-10845.036
5280	2	11	0.000778	0.000163	-10855.037
5290	2	11	0.000725	0.000214	-10840.436
5300	2	11	0.000690	0.000230	-10857.998
5310	2	11	0.000624	0.000208	-10848.072
5320	2	11	0.000778	0.000495	-10846.781
5330	2	11	0.000860	0.000155	-10839.638
5340	2	11	0.000843	0.000214	-10846.440
5350	2	11	0.000703	0.000249	-10843.816
5360	2	11	0.000661	0.000247	-10848.307
5370	2	11	0.000866	0.000232	-10847.294
5380	2	11	0.000954	0.000127	-10846.017
5390	2	11	0.000627	0.000111	-10846.895
5400	2	11	0.000656	0.000151	-10848.451
5410	2	11	0.000647	0.000149	-10847.308
5420	2	11	0.000542	0.000199	-10844.405
5430	2	11	0.000561	0.000111	-10842.943
5440	2	11	0.000758	0.000148	-10843.969
5450	2	11	0.000743	0.000110	-10846.904
5460	2	11	0.000935	0.000151	-10847.709
5470	2	11	0.001205	0.000115	-10846.835
5480	2	11	0.001087	0.000354	-10853.650
5490	2	11	0.001179	0.000229	-10841.121
5500	2	11	0.000825	0.000360	-10851.361
5510	2	11	0.001127	0.000268	-10846.496
5520	2	11	0.000763	0.000242	-10844.895
5530	2	11	0.000957	0.000344	-10842.304
5540	2	11	0.000870	0.000303	-10847.692
5550	2	11	0.000752	0.000232	-10844.512
5560	2	11	0.000676	0.000222	-10839.932
5570	2	11	0.001276	0.000387	-10849.753
5580	2	11	0.001001	0.000530	-10853.865
5590	2	11	0.000886	0.000329	-10845.894
5600	2	11	0.000988	0.000367	-10842.579
5610	2	11	0.000703	0.000137	-10841.647
5620	2	11	0.000663	0.000249	-10848.854
5630	2	11	0.000598	0.000159	-10856.102
5640	2	11	0.000469	0.000106	-10842.958
5650	2	11	0.000724	0.000225	-10847.218
5660	2	11	0.000661	0.000470	-10845.606
5670	2	11	0.000439	0.000259	-10847.534
5680	2	11	0.000594	0.000204	-10841.370
5690	2	11	0.000691	0.000435	-10847.448
5700	2	11	0.000569	0.000157	-10841.026
5710	2	11	0.000685	0.000259	-10841.460
5720	2	11	0.000548	0.000249	-10839.987
5730	2	11	0.000614	0.000279	-10842.393
5740	2	11	0.000486	0.000155	-10844.568
5750	2	11	0.000551	0.000241	-10848.306
5760	2	11	0.000448	0.000202	-10843.243
5770	2	11	0.000462	0.000162	-10843.245
5780	2	11	0.000503	0.000228	-10843.248
5790	2	11	0.000378	0.000148	-10845.698
5800	2	11	0.000744	0.000227	-10841.291
5810	2	11	0.000453	0.000263	-10842.253
5820	2	11	0.000383	0.000122	-10841.553
5830	2	11	0.000388	0.000252	-10840.495
5840	2	11	0.000315	0.000198	-10846.830
5850	2	11	0.000418	0.000262	-10846.523
5860	2	11	0.000348	0.000093	-10838.978
